Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
MERCEDES-BENZ,A Klasse,高背掀背車,插電式油電混合,A 250 e 8G-DCT,2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,插電式油電混合,"A 250 e 8G-DCT, Advanced Progressive",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,插電式油電混合,"A 250 e 8G-DCT, Edition 19",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,柴油,A 160 d,2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,柴油,"A 160 d, Edition 19",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,柴油,"A 160 d, Edition 2020",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,A 160,2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,A 160 7G-DCT,2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160 7G-DCT, Edition 1",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160 7G-DCT, Edition 19",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160 7G-DCT, Edition 2020",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160 7G-DCT, Progressive",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160 7G-DCT, Style",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160, Advanced Progressive",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160, Edition 1",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160, Edition 19",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160, Edition 2020",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160, Edition 2021",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160, Progressive",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 160, Style",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,A 180,2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,A 180 7G-DCT,2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 180 7G-DCT, Advanced Progressive",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 180 7G-DCT, Edition 1",2018,至今,N/A
MERCEDES-BENZ,A Klasse,高背掀背車,汽油,"A 180 7G-DCT, Edition 19",2018,至今,N/A
